"city","year","weekofyear","total_cases"
"sj",2012,12,-2
"sj",2012,13,16
"sj",2012,14,5
"sj",2012,15,6
"sj",2012,16,5
"sj",2012,17,3
"sj",2012,18,19
"sj",2012,19,3
"sj",2012,20,2
"sj",2012,21,-1
"sj",2012,22,7
"sj",2012,23,18
"sj",2012,24,32
"sj",2012,25,36
"sj",2012,26,29
"sj",2012,27,35
"sj",2012,28,40
"sj",2012,29,51
"sj",2012,30,51
"sj",2012,31,56
"sj",2012,32,56
"sj",2012,33,56
"sj",2012,34,51
"sj",2012,35,55
"sj",2012,36,60
"sj",2012,37,64
"sj",2012,38,66
"sj",2012,39,94
"sj",2012,40,79
"sj",2012,41,49
"sj",2012,42,61
"sj",2012,43,59
"sj",2012,44,128
"sj",2012,45,38
"sj",2012,46,30
"sj",2012,47,34
"sj",2012,48,36
"sj",2012,49,38
"sj",2012,50,22
"sj",2012,51,20
"sj",2013,1,23
"sj",2013,2,15
"sj",2013,3,10
"sj",2013,4,15
"sj",2013,5,16
"sj",2013,6,9
"sj",2013,7,6
"sj",2013,8,7
"sj",2013,9,7
"sj",2013,10,4
"sj",2013,11,7
"sj",2013,12,7
"sj",2013,13,-3
"sj",2013,14,3
"sj",2013,15,9
"sj",2013,16,7
"sj",2013,17,8
"iq",2010,26,5
"iq",2010,27,1
"iq",2010,28,3
"iq",2010,29,5
"iq",2010,30,2
"iq",2010,31,3
"iq",2010,32,1
"iq",2010,33,3
"iq",2010,34,3
"iq",2010,35,3
"iq",2010,36,2
"iq",2010,37,-4
"iq",2010,38,2
"iq",2010,39,1
"iq",2010,40,21
"iq",2010,41,5
"iq",2010,42,3
"iq",2010,43,11
"iq",2010,44,1
"iq",2010,45,8
"iq",2010,46,18
"iq",2010,47,5
"iq",2010,48,4
"iq",2010,49,13
"iq",2010,50,13
"iq",2010,51,10
"iq",2011,52,-2
"iq",2011,1,20
"iq",2011,2,7
"iq",2011,3,10
"iq",2011,4,14
"iq",2011,5,13
"iq",2011,6,18
"iq",2011,7,13
"iq",2011,8,12
"iq",2011,9,14
"iq",2011,10,8
"iq",2011,11,7
"iq",2011,12,3
"iq",2011,13,6
"iq",2011,14,4
"iq",2011,15,4
"iq",2011,16,6
"iq",2011,17,8
"iq",2011,18,8
"iq",2011,19,3
"iq",2011,20,4
"iq",2011,21,1
"iq",2011,22,2
"iq",2011,23,4
"iq",2011,24,-5
"iq",2011,25,3
"iq",2011,26,10
"iq",2011,27,4
"iq",2011,28,3
"iq",2011,29,4
"iq",2011,30,2
"iq",2011,31,4
"iq",2011,32,0
"iq",2011,33,1
"iq",2011,34,2
"iq",2011,35,0
"iq",2011,36,2
"iq",2011,37,8
"iq",2011,38,5
"iq",2011,39,31
"iq",2011,40,9
"iq",2011,41,5
"iq",2011,42,3
"iq",2011,43,9
"iq",2011,44,6
"iq",2011,45,19
"iq",2011,46,19
"iq",2011,47,13
"iq",2011,48,19
"iq",2011,49,22
"iq",2011,50,54
"iq",2011,51,18
"iq",2012,52,14
"iq",2012,1,10
"iq",2012,2,16
"iq",2012,3,16
"iq",2012,4,10
"iq",2012,5,22
"iq",2012,6,21
"iq",2012,7,13
"iq",2012,8,20
"iq",2012,9,12
"iq",2012,10,7
"iq",2012,11,2
"iq",2012,12,8
"iq",2012,13,6
"iq",2012,14,3
"iq",2012,15,4
"iq",2012,16,2
"iq",2012,17,6
"iq",2012,18,3
"iq",2012,19,1
"iq",2012,20,4
"iq",2012,21,2
"iq",2012,22,1
"iq",2012,23,3
"iq",2012,24,4
"iq",2012,25,3
"iq",2012,26,-2
"iq",2012,27,3
"iq",2012,28,8
"iq",2012,29,3
"iq",2012,30,4
"iq",2012,31,1
"iq",2012,32,1
"iq",2012,33,3
"iq",2012,34,-1
"iq",2012,35,6
"iq",2012,36,1
"iq",2012,37,1
"iq",2012,38,3
"iq",2012,39,17
"iq",2012,40,8
"iq",2012,41,6
"iq",2012,42,9
"iq",2012,43,11
"iq",2012,44,10
"iq",2012,45,10
"iq",2012,46,3
"iq",2012,47,12
"iq",2012,48,8
"iq",2012,49,24
"iq",2012,50,3
"iq",2012,51,4
"iq",2013,1,18
"iq",2013,2,19
"iq",2013,3,20
"iq",2013,4,20
"iq",2013,5,22
"iq",2013,6,17
"iq",2013,7,14
"iq",2013,8,14
"iq",2013,9,15
"iq",2013,10,14
"iq",2013,11,7
"iq",2013,12,5
"iq",2013,13,7
"iq",2013,14,4
"iq",2013,15,1
"iq",2013,16,12
"iq",2013,17,5
"iq",2013,18,1
"iq",2013,19,1
"iq",2013,20,7
"iq",2013,21,1
"iq",2013,22,6
"iq",2013,23,3
"iq",2013,24,3
"iq",2013,25,4
"iq",2013,26,3
