"city","year","weekofyear","total_cases"
"sj",2011,15,9
"sj",2011,16,7
"sj",2011,17,6
"sj",2011,18,8
"sj",2011,19,5
"sj",2011,20,11
"sj",2011,21,19
"sj",2011,22,21
"sj",2011,23,18
"sj",2011,24,57
"sj",2011,25,39
"sj",2011,26,30
"sj",2011,27,37
"sj",2011,28,39
"sj",2011,29,23
"sj",2011,30,56
"sj",2011,31,40
"sj",2011,32,84
"sj",2011,33,50
"sj",2011,34,96
"sj",2011,35,49
"sj",2011,36,71
"sj",2011,37,55
"sj",2011,38,68
"sj",2011,39,59
"sj",2011,40,88
"sj",2011,41,72
"sj",2011,42,46
"sj",2011,43,43
"sj",2011,44,59
"sj",2011,45,48
"sj",2011,46,37
"sj",2011,47,33
"sj",2011,48,30
"sj",2011,49,29
"sj",2011,50,32
"sj",2011,51,19
"sj",2012,52,28
"sj",2012,1,19
"sj",2012,2,15
"sj",2012,3,13
"sj",2012,4,14
"sj",2012,5,12
"sj",2012,6,13
"sj",2012,7,11
"sj",2012,8,11
"sj",2012,9,10
"sj",2012,10,9
"sj",2012,11,7
"sj",2012,12,5
"sj",2012,13,10
"sj",2012,14,8
"sj",2012,15,7
"sj",2012,16,10
"sj",2012,17,8
"sj",2012,18,8
"sj",2012,19,9
"sj",2012,20,19
"sj",2012,21,16
"sj",2012,22,10
"sj",2012,23,19
"sj",2012,24,23
"sj",2012,25,30
"sj",2012,26,26
"sj",2012,27,27
"sj",2012,28,23
"sj",2012,29,34
"sj",2012,30,42
"sj",2012,31,36
"sj",2012,32,47
"sj",2012,33,52
"sj",2012,34,50
"sj",2012,35,49
"sj",2012,36,75
"sj",2012,37,85
"sj",2012,38,86
"sj",2012,39,85
"sj",2012,40,75
"sj",2012,41,53
"sj",2012,42,57
"sj",2012,43,56
"sj",2012,44,84
"sj",2012,45,47
"sj",2012,46,42
"sj",2012,47,48
"sj",2012,48,29
"sj",2012,49,27
"sj",2012,50,18
"sj",2012,51,20
"sj",2013,1,18
"sj",2013,2,15
"sj",2013,3,12
"sj",2013,4,12
"sj",2013,5,14
"sj",2013,6,11
"sj",2013,7,9
"sj",2013,8,9
"sj",2013,9,7
"sj",2013,10,6
"sj",2013,11,8
"sj",2013,12,6
"sj",2013,13,8
"sj",2013,14,8
"sj",2013,15,9
"sj",2013,16,8
"sj",2013,17,7
"iq",2010,26,5
"iq",2010,27,4
"iq",2010,28,6
"iq",2010,29,2
"iq",2010,30,4
"iq",2010,31,6
"iq",2010,32,4
"iq",2010,33,5
"iq",2010,34,5
"iq",2010,35,10
"iq",2010,36,6
"iq",2010,37,5
"iq",2010,38,11
"iq",2010,39,5
"iq",2010,40,17
"iq",2010,41,8
"iq",2010,42,14
"iq",2010,43,9
"iq",2010,44,7
"iq",2010,45,16
"iq",2010,46,16
"iq",2010,47,7
"iq",2010,48,9
"iq",2010,49,10
"iq",2010,50,16
"iq",2010,51,11
"iq",2011,52,11
"iq",2011,1,17
"iq",2011,2,13
"iq",2011,3,14
"iq",2011,4,11
"iq",2011,5,12
"iq",2011,6,14
"iq",2011,7,16
"iq",2011,8,14
"iq",2011,9,13
"iq",2011,10,9
"iq",2011,11,8
"iq",2011,12,8
"iq",2011,13,9
"iq",2011,14,7
"iq",2011,15,5
"iq",2011,16,5
"iq",2011,17,7
"iq",2011,18,8
"iq",2011,19,4
"iq",2011,20,4
"iq",2011,21,5
"iq",2011,22,3
"iq",2011,23,4
"iq",2011,24,7
"iq",2011,25,3
"iq",2011,26,5
"iq",2011,27,5
"iq",2011,28,3
"iq",2011,29,5
"iq",2011,30,2
"iq",2011,31,4
"iq",2011,32,8
"iq",2011,33,4
"iq",2011,34,5
"iq",2011,35,3
"iq",2011,36,3
"iq",2011,37,13
"iq",2011,38,12
"iq",2011,39,11
"iq",2011,40,7
"iq",2011,41,8
"iq",2011,42,8
"iq",2011,43,15
"iq",2011,44,11
"iq",2011,45,18
"iq",2011,46,18
"iq",2011,47,13
"iq",2011,48,13
"iq",2011,49,12
"iq",2011,50,29
"iq",2011,51,22
"iq",2012,52,12
"iq",2012,1,12
"iq",2012,2,14
"iq",2012,3,14
"iq",2012,4,14
"iq",2012,5,16
"iq",2012,6,18
"iq",2012,7,15
"iq",2012,8,18
"iq",2012,9,9
"iq",2012,10,10
"iq",2012,11,4
"iq",2012,12,7
"iq",2012,13,7
"iq",2012,14,5
"iq",2012,15,8
"iq",2012,16,8
"iq",2012,17,8
"iq",2012,18,6
"iq",2012,19,3
"iq",2012,20,6
"iq",2012,21,3
"iq",2012,22,4
"iq",2012,23,5
"iq",2012,24,3
"iq",2012,25,4
"iq",2012,26,8
"iq",2012,27,3
"iq",2012,28,7
"iq",2012,29,8
"iq",2012,30,4
"iq",2012,31,2
"iq",2012,32,4
"iq",2012,33,5
"iq",2012,34,7
"iq",2012,35,6
"iq",2012,36,3
"iq",2012,37,5
"iq",2012,38,4
"iq",2012,39,15
"iq",2012,40,7
"iq",2012,41,11
"iq",2012,42,9
"iq",2012,43,12
"iq",2012,44,12
"iq",2012,45,13
"iq",2012,46,9
"iq",2012,47,11
"iq",2012,48,9
"iq",2012,49,17
"iq",2012,50,9
"iq",2012,51,8
"iq",2013,1,16
"iq",2013,2,21
"iq",2013,3,18
"iq",2013,4,18
"iq",2013,5,16
"iq",2013,6,16
"iq",2013,7,15
"iq",2013,8,15
"iq",2013,9,14
"iq",2013,10,13
"iq",2013,11,10
"iq",2013,12,9
"iq",2013,13,9
"iq",2013,14,8
"iq",2013,15,7
"iq",2013,16,9
"iq",2013,17,7
"iq",2013,18,5
"iq",2013,19,6
"iq",2013,20,8
"iq",2013,21,5
"iq",2013,22,10
"iq",2013,23,4
"iq",2013,24,3
"iq",2013,25,5
"iq",2013,26,4
